step,selection_utility,U_image,mse,lpips_alex,normalized_latent
0,0.17326113940576712,0.1601944509074092,0.08748308041250955,0.7271136902968088,1.3066688756108285
2500,0.027139708621054887,0.021783446065150203,0.008162371421031033,0.13621074408330022,0.535626267610987
5000,0.024203759785400084,0.01944779357879112,0.007295841160913309,0.12151952208429576,0.4755966307411591
7500,0.022985746416123585,0.0185060426674628,0.007013912295674284,0.11492130171929797,0.4479703844274084
10000,0.0227154612347018,0.01837622093448105,0.007033337352820672,0.1134288338801513,0.4339240397716562
12500,0.022242061869179208,0.017999031435480962,0.006828185214672704,0.11170846026241779,0.4243030521661043
15000,0.021909473425413793,0.01773714512932735,0.006756368379999185,0.109807765568917,0.4172328381662567
17500,0.021477328683280696,0.017392481324247394,0.0066218019906334425,0.10770679151962201,0.4084847444196542
20000,0.021336851058263953,0.01729540648953989,0.006574699509287408,0.10720706789779166,0.4041444651233653
22500,0.021317042462946845,0.01731107782026132,0.006569917007720021,0.1074116062005361,0.40059647221788763
25000,0.021244644476333632,0.017271334085737666,0.006539283979821873,0.10732049921788275,0.39733104783172407
27500,0.021106493918054428,0.017175942333384108,0.006568443390084819,0.10607498750438293,0.3930551666398843
30000,0.020769359616640334,0.016875418026326226,0.0064004997057820825,0.10474918138186137,0.3893941680379212
32500,0.020733034122223035,0.01685892185413589,0.0063892433359151865,0.10469678330111007,0.3874112349530061
35000,0.02068016663294596,0.016824863396584986,0.006394117744181616,0.10430745465389142,0.3855303313429157
37500,0.02066353092204469,0.016821318366735553,0.00638126768489019,0.10440050498557588,0.38422126329243184
40000,0.020760756230462963,0.01693511421806179,0.0064652864802046675,0.10469827545055499,0.3825642084899048
