population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips,dino_cosine
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,8,Dc,7.0,2003,3060,2612,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,9,Dc,7.0,2003,5088,4214,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,7,Dc,13.0,2001,1860,1860,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,8,Dc,13.0,2001,3060,3060,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,9,Dc,13.0,2001,5088,5088,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,7,Dc,13.0,2001,1860,1562,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,8,Dc,13.0,2001,3060,2612,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,9,Dc,13.0,2001,5088,4214,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,7,Dc,13.0,2002,1860,1860,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,8,Dc,13.0,2002,3060,3060,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,9,Dc,13.0,2002,5088,5088,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,7,Dc,13.0,2002,1860,1562,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,8,Dc,13.0,2002,3060,2612,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,9,Dc,13.0,2002,5088,4214,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,7,Dc,13.0,2003,1860,1860,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,8,Dc,13.0,2003,3060,3060,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,9,Dc,13.0,2003,5088,5088,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,7,Dc,13.0,2003,1860,1562,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,8,Dc,13.0,2003,3060,2612,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,9,Dc,13.0,2003,5088,4214,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,7,Dc,19.0,2001,1860,1860,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,8,Dc,19.0,2001,3060,3060,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,9,Dc,19.0,2001,5088,5088,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,7,Dc,19.0,2001,1860,1562,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,8,Dc,19.0,2001,3060,2612,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,9,Dc,19.0,2001,5088,4214,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
